Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-06-20,ES,Spain,EURO,392,253324,12,29643
2020-06-21,ES,Spain,EURO,352,253676,17,29660
2020-06-22,ES,Spain,EURO,231,253907,14,29674
2020-06-23,ES,Spain,EURO,168,254075,15,29689
2020-06-24,ES,Spain,EURO,250,254325,7,29696
2020-06-25,ES,Spain,EURO,454,254779,8,29704
2020-06-26,ES,Spain,EURO,348,255127,12,29716
2020-06-27,ES,Spain,EURO,375,255502,12,29728
2020-06-28,ES,Spain,EURO,486,255988,9,29737
2020-06-29,ES,Spain,EURO,262,256250,2,29739
2020-06-30,ES,Spain,EURO,191,256441,12,29751
